fetched_at,source_updated,garage,percent
2026-08-20T09:12:06,,North Garage,85
2026-08-20T09:12:06,,West Garage,96
2026-08-20T09:12:06,,South Garage,11
2026-08-20T09:12:06,,South Campus Garage,11
2026-08-20T09:44:59,,North Garage,93
2026-08-20T09:44:59,,West Garage,16
2026-08-20T09:44:59,,South Garage,16
2026-08-20T09:44:59,,South Campus Garage,16
2026-08-20T10:14:09,,North Garage,28
2026-08-20T10:14:09,,West Garage,28
2026-08-20T10:14:09,,South Garage,28
2026-08-20T10:14:09,,South Campus Garage,28
2026-08-20T10:48:41,,North Garage,35
2026-08-20T10:48:41,,West Garage,35
2026-08-20T10:48:41,,South Garage,35
2026-08-20T10:48:41,,South Campus Garage,35
2026-08-20T10:53:10,,North Garage,35
2026-08-20T10:53:10,,West Garage,35
2026-08-20T10:53:10,,South Garage,35
2026-08-20T10:53:10,,South Campus Garage,35
2026-08-20T10:57:59,,North Garage,35
2026-08-20T10:57:59,,West Garage,35
2026-08-20T10:57:59,,South Garage,35
2026-08-20T10:57:59,,South Campus Garage,35
